aoh_t ,aoh_mm ,apa_t ,apa_mm ,amox_t ,amox_mm ,ester_t ,ester_mm
    0 ,  4.18 ,    0 , 51.47 ,     0 ,   0.00 ,      0 ,   45.82
   60 ,  7.42 ,   60 , 42.35 ,    60 ,   9.12 ,     60 ,   33.46
  120 ,  8.79 ,  120 , 40.77 ,   120 ,  10.70 ,    120 ,   30.50
  180 , 10.54 ,  180 , 39.07 ,   180 ,  12.40 ,    180 ,   27.06
  240 , 11.53 ,  240 , 38.67 ,   240 ,  12.80 ,    240 ,   25.67
  300 , 13.20 ,  300 , 37.59 ,   300 ,  13.88 ,    300 ,   22.92
  420 , 16.84 ,  420 , 37.21 ,   420 ,  14.26 ,    420 ,   18.89
  480 , 18.78 ,  480 , 36.28 ,   480 ,  15.19 ,    480 ,   16.03
  540 , 22.84 ,  540 , 36.27 ,   540 ,  15.20 ,    540 ,   11.96
  600 , 24.24 ,  600 , 40.47 ,   600 ,  11.00 ,    600 ,   10.81
  660 , 31.76 ,  660 , 42.76 ,   660 ,   8.71 ,    660 ,    9.54
  720 , 33.60 ,  720 , 42.98 ,   720 ,   8.49 ,    720 ,    8.00
 1410 , 41.62 , 1410 , 44.25 ,  1410 ,   7.22 ,   1410 ,    1.16
