aoh_t,aoh_mm,apa_t,apa_mm,amox_t,amox_mm,ester_t,ester_mm
0,0.00,0,28.32,0,0.00,0,125.48
65,0.95,65,27.20,65,1.12,65,123.41
120,1.37,120,26.99,120,1.34,120,122.78
180,2.06,180,26.53,180,1.79,180,121.63
244,2.49,244,26.13,244,2.19,244,120.80
300,3.07,300,25.71,300,2.61,300,119.80
360,3.78,360,25.32,360,3.00,360,118.70
420,4.56,420,24.94,420,3.38,420,117.54
600,6.61,600,23.87,600,4.46,600,114.42
1368,14.84,1368,20.72,1368,7.60,1368,103.04
1428,14.62,1428,21.01,1428,7.32,1428,103.54
1488,14.88,1488,20.92,1488,7.41,1488,103.19
1548,15.65,1548,20.72,1548,7.60,1548,102.23
1608,17.34,1608,20.16,1608,8.17,1608,99.98
1668,17.47,1668,20.25,1668,8.08,1668,99.93
1728,18.81,1728,19.95,1728,8.37,1728,98.30
